Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,Forest:Alder/Maple Group,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1.0,,,,,
,,,,,Forest:Alder/Maple Group,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
