MaximumAge,Color
30,"255,186, 253, 106"
60,"255,167, 231, 99"
90,"255,149, 209, 92"
120,"255,130, 187, 85"
150,"255,111, 165, 78"
180,"255,93, 144, 71"
210,"255,74, 122, 64"
240,"255,55, 100, 57"
270,"255,37, 78, 50"
300,"255,18, 56, 43"
600,"255,49,52,37"
